run_id,case_id,sample_id,difficulty,beat_type,initial_completion_rate,json_parse_ok,rule_weak_required_failed,rule_weak_forbidden_hits,disagreement,repair_triggered,repair_success,new_error_count,final_usable,total_latency,repair_risk,failure_taxonomy
case-01-seventh-protocol-s1,case-01-seventh-protocol,s1,medium,explicit_keyword;semantic_condition;knowledge_boundary,1.0,True,0,0,False,False,False,0,True,141.91,not_triggered,"{""missing_required_beat"":0,""partial_required_beat"":0,""forbidden_violation"":0,""knowledge_boundary_violation"":0,""terminal_position_failure"":0,""repair_failed"":false,""repair_introduced_new_error"":false,""validator_disagreement"":false}"
case-01-seventh-protocol-s2,case-01-seventh-protocol,s2,medium,explicit_keyword;semantic_condition;knowledge_boundary,1.0,True,0,0,False,False,False,0,True,52.67,not_triggered,"{""missing_required_beat"":0,""partial_required_beat"":0,""forbidden_violation"":0,""knowledge_boundary_violation"":0,""terminal_position_failure"":0,""repair_failed"":false,""repair_introduced_new_error"":false,""validator_disagreement"":false}"
case-02-ending-hook-s1,case-02-ending-hook,s1,hard,semantic_condition;knowledge_boundary;terminal_hook,1.0,True,0,1,True,False,False,0,True,84.52,not_triggered,"{""missing_required_beat"":0,""partial_required_beat"":0,""forbidden_violation"":0,""knowledge_boundary_violation"":0,""terminal_position_failure"":0,""repair_failed"":false,""repair_introduced_new_error"":false,""validator_disagreement"":true}"
case-02-ending-hook-s2,case-02-ending-hook,s2,hard,semantic_condition;knowledge_boundary;terminal_hook,1.0,True,0,1,True,False,False,0,True,24.31,not_triggered,"{""missing_required_beat"":0,""partial_required_beat"":0,""forbidden_violation"":0,""knowledge_boundary_violation"":0,""terminal_position_failure"":0,""repair_failed"":false,""repair_introduced_new_error"":false,""validator_disagreement"":true}"
case-03-injury-limitation-s1,case-03-injury-limitation,s1,hard,semantic_condition;state_constraint,0.8,True,0,0,False,False,False,0,True,103.56,not_triggered,"{""missing_required_beat"":0,""partial_required_beat"":0,""forbidden_violation"":0,""knowledge_boundary_violation"":0,""terminal_position_failure"":0,""repair_failed"":false,""repair_introduced_new_error"":false,""validator_disagreement"":false}"
case-03-injury-limitation-s2,case-03-injury-limitation,s2,hard,semantic_condition;state_constraint,1.0,True,0,0,False,False,False,0,True,37.75,not_triggered,"{""missing_required_beat"":0,""partial_required_beat"":0,""forbidden_violation"":0,""knowledge_boundary_violation"":0,""terminal_position_failure"":0,""repair_failed"":false,""repair_introduced_new_error"":false,""validator_disagreement"":false}"
case-04-item-handover-s1,case-04-item-handover,s1,hard,semantic_condition;knowledge_boundary;state_constraint,1.0,True,1,0,True,True,True,0,True,48.21,safe_repair,"{""missing_required_beat"":0,""partial_required_beat"":0,""forbidden_violation"":0,""knowledge_boundary_violation"":0,""terminal_position_failure"":0,""repair_failed"":false,""repair_introduced_new_error"":false,""validator_disagreement"":true}"
case-04-item-handover-s2,case-04-item-handover,s2,hard,semantic_condition;knowledge_boundary;state_constraint,1.0,True,0,0,True,False,False,0,True,58.74,not_triggered,"{""missing_required_beat"":0,""partial_required_beat"":0,""forbidden_violation"":0,""knowledge_boundary_violation"":0,""terminal_position_failure"":0,""repair_failed"":false,""repair_introduced_new_error"":false,""validator_disagreement"":true}"
case-05-location-lock-s1,case-05-location-lock,s1,medium,semantic_condition;knowledge_boundary;state_constraint,1.0,True,0,0,False,False,False,0,True,95.63,not_triggered,"{""missing_required_beat"":0,""partial_required_beat"":0,""forbidden_violation"":0,""knowledge_boundary_violation"":0,""terminal_position_failure"":0,""repair_failed"":false,""repair_introduced_new_error"":false,""validator_disagreement"":false}"
case-05-location-lock-s2,case-05-location-lock,s2,medium,semantic_condition;knowledge_boundary;state_constraint,1.0,True,0,0,False,False,False,0,True,76.44,not_triggered,"{""missing_required_beat"":0,""partial_required_beat"":0,""forbidden_violation"":0,""knowledge_boundary_violation"":0,""terminal_position_failure"":0,""repair_failed"":false,""repair_introduced_new_error"":false,""validator_disagreement"":false}"
case-06-no-new-entity-s1,case-06-no-new-entity,s1,medium,semantic_condition;knowledge_boundary;forbidden_entity,1.0,True,0,0,False,False,False,0,True,34.88,not_triggered,"{""missing_required_beat"":0,""partial_required_beat"":0,""forbidden_violation"":0,""knowledge_boundary_violation"":0,""terminal_position_failure"":0,""repair_failed"":false,""repair_introduced_new_error"":false,""validator_disagreement"":false}"
case-06-no-new-entity-s2,case-06-no-new-entity,s2,medium,semantic_condition;knowledge_boundary;forbidden_entity,1.0,True,0,0,False,False,False,0,True,56.65,not_triggered,"{""missing_required_beat"":0,""partial_required_beat"":0,""forbidden_violation"":0,""knowledge_boundary_violation"":0,""terminal_position_failure"":0,""repair_failed"":false,""repair_introduced_new_error"":false,""validator_disagreement"":false}"
